39.857325,39.4341,39.361975,40.88225,50.79205,39.726425,39.603925,46.3606,39.5442,39.787475

52.9311,52.75025,52.60625,53.1544,52.79135,53.17915,52.92135,53.1245,52.7563,53.27985

65.8086,65.69335,67.3954,66.59465,65.85945,66.4454,65.71815,66.45965,65.8495,66.3005

79.2014,79.4422,79.2025,79.5753,79.1323,79.289,79.7234,79.206,79.4086,78.4142

92.6589,93.0734,92.7788,105.8345,92.8949,92.8214,93.2095,92.627,92.8602,92.8852

117.5314,107.0037,106.4715,106.7229,106.3204,130.5442,107.1004,107.5537,106.6436,106.843

147.7506,118.5576,217.7016,216.767,120.4772,119.0168,170.0722,118.9546,120.0619,119.9901

136.915,135.3057,135.0221,135.7106,135.1066,135.5093,135.451,137.5813,136.457,135.7149

495.661,273.72,272.9962,270.6017,465.879,269.8356,479.3017,272.7377,270.6676,272.1858

543.9094,627.7251,1030.2385,543.912,542.6875,541.706,545.4195,544.8109,1009.973,545.3785

807.0841,808.3915,809.0885,1116.785,821.4832,856.0517,1521.6947,1427.1087,810.4598,1503.3223

1082.436,1216.0483,1183.5785,2050.9881,1210.1215,1229.6823,1082.0493,1080.5643,1716.872,1980.6576

1345.6385,1346.7095,1348.5937,1345.3921,1349.0574,1346.3646,1344.4305,1353.8352,1744.2808,1353.7455

